points_last_5,minutes_per_game_last_5,goals_last_5,assists_last_5,bonus_points_last_5,yellow_cards_last_5,red_cards_last_5,starts_last_5,transfers_in_last_5,transfers_out_last_5,influence_last_5,creativity_last_5,threat_last_5,player_price_diff_last_5,player_price,xG_per_game_last_5,xA_per_game_last_5,xG_sum_last_5,xA_sum_last_5,home_away_current,fdr_current,actual_gw_points
17,78.75,1,1,3,0,0,3,13947,74549,78.6,17.3,77.0,-0.3,5.7,0.1,0.04,0.39,0.14,1,3,2
19,81.0,1,1,3,0,0,4,107353,57970,84.8,39.0,85.0,-0.2,5.7,0.09,0.05,0.45,0.27,1,3,8
26,90.0,1,3,3,0,0,5,154339,57005,100.2,48.8,111.0,-0.1,5.7,0.1,0.11,0.51,0.53,0,2,12
36,89.6,2,4,6,0,0,5,211860,60069,136.4,60.5,111.0,-0.1,5.7,0.13,0.12,0.63,0.59,1,2,2
26,89.6,1,3,3,0,0,5,421492,65188,85.2,59.3,110.0,0.1,5.8,0.19,0.12,0.97,0.62,0,3,1
25,80.4,1,3,3,0,0,5,460304,134359,86.4,60.2,152.0,0.1,5.8,0.22,0.12,1.11,0.62,1,3,2
25,80.0,1,3,3,0,0,5,384908,211575,89.4,39.3,148.0,0.1,5.8,0.21,0.1,1.05,0.52,0,2,6
23,80.0,2,1,3,0,0,5,528574,229359,118.6,29.9,141.0,0.0,5.7,0.25,0.05,1.27,0.27,1,2,5
16,80.4,1,1,0,0,0,5,812447,253314,70.4,27.1,170.0,0.1,5.8,0.27,0.04,1.36,0.21,0,4,2
16,80.4,1,1,0,0,0,5,908764,727851,70.4,15.5,158.0,0.0,5.8,0.22,0.01,1.1,0.06,1,2,1
16,89.6,1,1,0,1,0,5,893633,723210,68.8,25.8,147.0,0.0,5.8,0.21,0.01,1.05,0.07,0,4,2
16,90.0,1,1,0,1,0,5,891384,731549,66.0,40.2,170.0,-0.1,5.7,0.24,0.01,1.2,0.07,0,3,0
10,90.0,0,1,0,1,0,4,727962,777515,21.4,38.4,149.0,0.0,5.7,0.23,0.02,0.92,0.06,1,2,0
5,90.0,0,0,0,1,0,3,388186,862931,15.2,27.6,78.0,-0.2,5.6,0.16,0.02,0.49,0.05,0,3,0
3,90.0,0,0,0,1,0,2,80382,464618,15.2,26.7,68.0,-0.3,5.5,0.17,0.02,0.34,0.04,1,3,2
4,90.0,0,0,0,0,0,2,48166,420749,14.0,15.9,74.0,-0.3,5.5,0.45,0.02,0.9,0.03,0,2,5
7,90.0,0,1,0,0,0,2,36512,326769,28.2,12.5,66.0,-0.2,5.5,0.47,0.16,0.94,0.33,1,5,5
12,90.0,0,2,0,0,0,3,23486,258657,28.2,13.5,97.0,-0.2,5.5,0.48,0.11,1.45,0.34,0,4,2
