season,gameweek,team,opponent_team,is_home,lagged_GC_1,lagged_GC_2,lagged_GC_3,lagged_GC_4,lagged_GC_5,lagged_GS_1,lagged_GS_2,lagged_GS_3,lagged_GS_4,lagged_GS_5,days_rest,days_till_next,opponent_lagged_GC_1,opponent_lagged_GC_2,opponent_lagged_GC_3,opponent_lagged_GC_4,opponent_lagged_GC_5,opponent_lagged_GS_1,opponent_lagged_GS_2,opponent_lagged_GS_3,opponent_lagged_GS_4,opponent_lagged_GS_5,opponent_days_rest,opponent_days_till_next,goals_conceded
2223,6,16,3,1,6.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,13.0,0.0,9.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,14.0,3
2223,6,3,16,0,0.0,9.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,14.0,6.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,13.0,2
2223,6,18,9,1,1.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,14.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,3.0,0.0,2.0,3.0,13.0,1
2223,6,9,18,0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,3.0,0.0,2.0,3.0,13.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,4.0,2.0,14.0,2
2223,6,20,17,1,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,13.0,1.0,1.0,1.0,2.0,4.0,2.0,0.0,2.0,2.0,1.0,3.0,13.0,0
2223,6,17,20,0,1.0,1.0,1.0,2.0,4.0,2.0,0.0,2.0,2.0,1.0,3.0,13.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,13.0,1
2223,6,2,13,1,2.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,2.0,13.0,0.0,2.0,3.0,0.0,0.0,6.0,4.0,3.0,4.0,2.0,2.0,13.0,1
2223,6,13,2,0,0.0,2.0,3.0,0.0,0.0,6.0,4.0,3.0,4.0,2.0,2.0,13.0,2.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,2.0,0.0,2.0,13.0,1
2223,6,5,10,1,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,4.0,27.0,1.0,2.0,2.0,4.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,13.0,2
2223,6,10,5,0,1.0,2.0,2.0,4.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,13.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,4.0,27.0,5
2223,6,14,1,1,0.0,0.0,1.0,4.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,27.0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,3.0,4.0,2.0,3.0,13.0,1
2223,6,1,14,0,1.0,1.0,0.0,2.0,0.0,2.0,2.0,3.0,4.0,2.0,3.0,13.0,0.0,0.0,1.0,4.0,2.0,1.0,1.0,2.0,0.0,1.0,2.0,27.0,3
2223,8,2,17,1,1.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,2.0,13.0,15.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,13.0,14.0,0
2223,8,17,2,0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,13.0,14.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,2.0,13.0,15.0,1
2223,8,16,9,1,3.0,6.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,13.0,17.0,2.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,3.0,0.0,13.0,14.0,3
2223,8,9,16,0,2.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,3.0,0.0,13.0,14.0,3.0,6.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,13.0,17.0,2
2223,8,20,13,1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,13.0,14.0,1.0,0.0,2.0,3.0,0.0,1.0,6.0,4.0,3.0,4.0,13.0,15.0,3
2223,8,13,20,0,1.0,0.0,2.0,3.0,0.0,1.0,6.0,4.0,3.0,4.0,13.0,15.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,13.0,14.0,0
2223,8,15,3,1,0.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,3.0,0.0,14.0,14.0,2.0,0.0,9.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,14.0,14.0,1
2223,8,3,15,0,2.0,0.0,9.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,3.0,0.0,14.0,14.0,1
2223,8,18,10,1,1.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,14.0,13.0,5.0,1.0,2.0,2.0,4.0,2.0,0.0,1.0,1.0,2.0,13.0,16.0,2
2223,8,10,18,0,5.0,1.0,2.0,2.0,4.0,2.0,0.0,1.0,1.0,2.0,13.0,16.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,14.0,13.0,6
2223,8,4,1,1,2.0,1.0,1.0,3.0,0.0,5.0,1.0,1.0,2.0,4.0,14.0,13.0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,3.0,4.0,13.0,13.0,3
2223,8,1,4,0,3.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,3.0,4.0,13.0,13.0,2.0,1.0,1.0,3.0,0.0,5.0,1.0,1.0,2.0,4.0,14.0,13.0,0
2223,8,8,19,1,0.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,15.0,13.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,14.0,13.0,0
2223,8,19,8,0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,14.0,13.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,15.0,13.0,1
2223,9,1,18,1,0.0,3.0,1.0,1.0,0.0,3.0,1.0,2.0,2.0,3.0,13.0,8.0,2.0,1.0,1.0,0.0,0.0,6.0,2.0,1.0,2.0,1.0,13.0,7.0,1
2223,9,18,1,0,2.0,1.0,1.0,0.0,0.0,6.0,2.0,1.0,2.0,1.0,13.0,7.0,0.0,3.0,1.0,1.0,0.0,3.0,1.0,2.0,2.0,3.0,13.0,8.0,3
2223,9,3,4,1,1.0,2.0,0.0,9.0,3.0,1.0,3.0,0.0,0.0,0.0,14.0,7.0,3.0,2.0,1.0,1.0,3.0,0.0,5.0,1.0,1.0,2.0,13.0,7.0,0
2223,9,4,3,0,3.0,2.0,1.0,1.0,3.0,0.0,5.0,1.0,1.0,2.0,13.0,7.0,1.0,2.0,0.0,9.0,3.0,1.0,3.0,0.0,0.0,0.0,14.0,7.0,0
2223,9,7,6,1,0.0,1.0,4.0,1.0,1.0,0.0,1.0,2.0,3.0,1.0,28.0,7.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,0.0,2.0,28.0,7.0,2
2223,9,6,7,0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,0.0,2.0,28.0,7.0,0.0,1.0,4.0,1.0,1.0,0.0,1.0,2.0,3.0,1.0,28.0,7.0,1
2223,9,9,15,1,2.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,14.0,7.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,3.0,14.0,7.0,4
2223,9,15,9,0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,3.0,14.0,7.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,14.0,7.0,1
2223,9,12,5,1,0.0,1.0,0.0,2.0,1.0,0.0,2.0,9.0,1.0,1.0,28.0,8.0,2.0,2.0,0.0,0.0,0.0,5.0,1.0,1.0,2.0,0.0,27.0,7.0,3
2223,9,5,12,0,2.0,2.0,0.0,0.0,0.0,5.0,1.0,1.0,2.0,0.0,27.0,7.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,9.0,1.0,1.0,28.0,8.0,3
2223,9,17,8,1,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,14.0,7.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,13.0,8.0,2
2223,9,8,17,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,13.0,8.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,14.0,7.0,1
2223,9,19,20,1,1.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,13.0,7.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,14.0,6.0,0
