points_last_5,minutes_last_5,goals_last_5,assists_last_5,clean_sheets_last_5,bonus_points_last_5,ict_index,player_position,player_price,xG_per_90,xA_per_90,home_away_current_plus_1,home_away_current_plus_2,home_away_current_plus_3,home_away_current_plus_4,home_away_current_plus_5,home_away_current_plus_6,home_away_current_plus_7,fdr_current_plus_1,fdr_current_plus_2,fdr_current_plus_3,fdr_current_plus_4,fdr_current_plus_5,fdr_current_plus_6,fdr_current_plus_7,total_points_plus_7
19,417,0,1,2,0,2.7,1,4.5,0.0,0.01,1,0,0,1,0,1,0,2,4,2,2,3,3,4,37
24,409,0,2,2,1,7.1,1,4.5,0.0,0.09,0,0,1,0,1,0,1,4,2,2,3,3,4,3,31
24,414,0,2,2,1,2.6,1,4.6,0.11,0.05,0,1,0,1,0,1,0,2,2,3,3,4,3,2,28
24,416,0,1,3,1,3.0,1,4.6,0.13,0.02,1,0,1,0,1,0,1,2,3,3,4,3,2,3,22
31,416,0,1,4,3,5.6,1,4.6,0.05,0.21,0,1,0,1,0,1,1,3,3,4,3,2,3,5,21
27,431,0,1,3,3,4.6,1,4.7,0.0,0.33,1,0,1,0,1,1,0,3,4,3,2,3,5,2,21
22,419,0,0,3,2,0.9,1,4.7,0.0,0.0,0,1,0,1,1,0,0,4,3,2,3,5,2,3,21
23,404,0,0,3,3,3.2,1,4.7,0.0,0.02,1,0,1,1,0,0,1,3,2,3,5,2,3,2,19
26,404,0,0,3,5,3.3,1,4.7,0.0,0.05,0,1,1,0,0,1,1,2,3,5,2,3,2,2,26
18,359,0,0,2,3,0.3,1,4.7,0.0,0.0,1,1,0,0,1,1,0,3,5,2,3,2,2,2,30
18,353,0,0,2,3,1.6,1,4.7,0.0,0.04,1,0,0,1,1,0,1,5,2,3,2,2,2,2,33
19,384,0,0,2,3,6.5,1,4.7,0.0,0.12,0,0,1,1,0,1,1,2,3,2,2,2,2,2,40
13,316,0,0,1,2,0.5,1,4.7,0.03,0.0,0,1,1,0,1,1,0,3,2,2,2,2,2,4,39
6,304,0,0,0,0,2.9,1,4.7,0.0,0.28,1,1,0,1,1,0,0,2,2,2,2,2,4,3,38
13,349,0,0,1,1,2.1,1,4.7,0.0,0.04,1,0,1,1,0,0,1,2,2,2,2,4,3,2,36
17,355,0,0,2,1,3.3,1,4.7,0.0,0.14,0,1,1,0,0,1,0,2,2,2,4,3,2,5,29
22,310,1,0,2,1,9.2,1,4.7,0.11,0.04,1,1,0,0,1,0,1,2,2,4,3,2,5,3,25
27,382,1,0,3,1,2.6,1,4.7,0.0,0.14,1,0,0,1,0,1,0,2,4,3,2,5,3,4,26
31,386,1,1,3,1,6.3,1,4.7,0.0,0.17,0,0,1,0,1,0,1,4,3,2,5,3,4,3,19
32,386,2,1,2,0,8.5,1,4.7,0.73,0.02,0,1,0,1,0,1,0,3,2,5,3,4,3,2,21
26,386,2,1,1,0,1.2,1,4.8,0.0,0.0,1,0,1,0,1,0,1,2,5,3,4,3,2,2,21
5,60,0,0,0,0,0.3,3,6.7,0.05,0.0,0,1,1,0,0,1,0,3,3,4,2,2,2,4,6
5,69,0,0,0,0,0.4,3,6.6,0.0,0.0,1,1,0,0,1,0,0,3,4,2,2,2,4,2,5
5,75,0,0,0,0,0.3,3,6.6,0.0,0.0,1,0,0,1,0,0,1,4,2,2,2,4,2,2,10
5,69,0,0,0,0,0.3,3,6.6,0.0,0.02,0,0,1,0,0,1,0,2,2,2,4,2,2,3,17
5,41,0,0,0,0,0.0,3,6.6,0.0,0.0,0,1,0,0,1,0,1,2,2,4,2,2,3,3,17
5,47,0,0,0,0,0.5,3,6.5,0.07,0.0,1,0,0,1,0,1,0,2,4,2,2,3,3,4,18
5,50,0,0,0,0,2.2,3,6.5,0.09,0.01,0,0,1,0,1,0,1,4,2,2,3,3,4,3,30
5,53,0,0,0,0,1.9,3,6.5,0.0,0.03,0,1,0,1,0,1,0,2,2,3,3,4,3,2,32
4,43,0,0,0,0,0.0,3,6.5,0.0,0.0,1,0,1,0,1,0,1,2,3,3,4,3,2,3,34
3,42,0,0,0,0,0.0,3,6.5,0.0,0.0,0,1,0,1,0,1,1,3,3,4,3,2,3,5,32
8,124,1,0,0,0,9.0,3,6.5,0.46,0.03,1,0,1,0,1,1,0,3,4,3,2,3,5,2,26
15,195,2,0,0,2,7.5,3,6.5,0.72,0.02,0,1,0,1,1,0,0,4,3,2,3,5,2,3,26
15,270,2,0,1,2,5.0,3,6.5,0.1,0.06,1,0,1,1,0,0,1,3,2,3,5,2,3,2,28
17,360,2,0,2,2,8.6,3,6.6,1.22,0.11,0,1,1,0,0,1,1,2,3,5,2,3,2,2,15
30,450,4,0,2,5,18.0,3,6.6,1.68,0.01,1,1,0,0,1,1,0,3,5,2,3,2,2,2,13
26,450,3,0,2,5,3.2,3,6.7,0.2,0.08,1,0,0,1,1,0,1,5,2,3,2,2,2,2,11
20,450,2,0,2,3,5.1,3,6.8,0.02,0.09,0,0,1,1,0,1,1,2,3,2,2,2,2,2,7
23,450,2,1,1,3,1.8,3,6.8,0.51,0.0,0,1,1,0,1,1,0,3,2,2,2,2,2,4,5
23,450,2,1,0,3,6.3,3,6.8,1.15,0.22,1,1,0,1,1,0,0,2,2,2,2,2,4,3,5
11,380,0,1,0,0,0.2,3,6.8,0.0,0.0,1,0,1,1,0,0,1,2,2,2,2,4,3,2,2
13,308,0,2,0,0,5.1,3,6.8,0.55,0.5,0,1,1,0,0,1,0,2,2,2,4,3,2,5,3
11,218,0,2,0,0,0.0,3,6.8,0.0,0.0,1,1,0,0,1,0,1,2,2,4,3,2,5,3,3
7,128,0,1,0,0,0.0,3,6.6,0.0,0.0,1,0,0,1,0,1,0,2,4,3,2,5,3,4,3
5,38,0,1,0,0,0.0,3,6.6,0.0,0.0,0,0,1,0,1,0,1,4,3,2,5,3,4,3,4
4,18,0,1,0,0,0.0,3,6.5,0.0,0.0,0,1,0,1,0,1,0,3,2,5,3,4,3,2,5
0,0,0,0,0,0,0.0,3,6.5,0.0,0.0,1,0,1,0,1,0,1,2,5,3,4,3,2,2,5
21,437,0,3,2,0,11.6,2,7.9,0.45,0.34,0,1,1,0,0,1,0,3,3,4,2,2,2,4,45
22,437,1,2,1,1,10.5,2,7.8,0.4,0.07,1,1,0,0,1,0,0,3,4,2,2,2,4,2,39
29,444,1,4,2,1,11.7,2,7.8,0.23,0.13,1,0,0,1,0,0,1,4,2,2,2,4,2,2,46
28,447,1,4,1,1,12.4,2,7.8,0.27,0.2,0,0,1,0,0,1,0,2,2,2,4,2,2,3,37
38,447,3,3,1,4,17.2,2,7.8,2.04,0.02,0,1,0,0,1,0,1,2,2,4,2,2,3,3,31
42,441,4,2,2,5,7.5,2,7.8,0.09,0.09,1,0,0,1,0,1,0,2,4,2,2,3,3,4,36
36,441,3,2,2,4,1.7,2,7.9,0.07,0.04,0,0,1,0,1,0,1,4,2,2,3,3,4,3,41
31,377,3,1,1,4,7.2,2,8.0,0.16,0.12,0,1,0,1,0,1,0,2,2,3,3,4,3,2,38
34,377,3,2,2,4,7.3,2,8.0,0.11,0.13,1,0,1,0,1,0,1,2,3,3,4,3,2,3,41
22,377,1,2,3,1,5.9,2,8.0,0.0,0.22,0,1,0,1,0,1,1,3,3,4,3,2,3,5,41
22,386,1,2,2,2,13.1,2,8.0,0.66,0.31,1,0,1,0,1,1,0,3,4,3,2,3,5,2,41
27,386,2,2,2,2,7.8,2,8.0,0.37,0.06,0,1,0,1,1,0,0,4,3,2,3,5,2,3,41
26,450,2,1,3,2,8.0,2,8.1,0.14,0.06,1,0,1,1,0,0,1,3,2,3,5,2,3,2,47
27,450,2,1,3,2,6.1,2,8.1,0.03,0.19,0,1,1,0,0,1,1,2,3,5,2,3,2,2,40
33,450,3,1,2,4,15.7,2,8.1,0.22,0.52,1,1,0,0,1,1,0,3,5,2,3,2,2,2,41
