season,gameweek,team,opponent_team,is_home,lagged_GC_1,lagged_GC_2,lagged_GC_3,lagged_GC_4,lagged_GC_5,lagged_GS_1,lagged_GS_2,lagged_GS_3,lagged_GS_4,lagged_GS_5,days_rest,days_till_next,opponent_lagged_GC_1,opponent_lagged_GC_2,opponent_lagged_GC_3,opponent_lagged_GC_4,opponent_lagged_GC_5,opponent_lagged_GS_1,opponent_lagged_GS_2,opponent_lagged_GS_3,opponent_lagged_GS_4,opponent_lagged_GS_5,opponent_days_rest,opponent_days_till_next,goals_conceded
2223,9.0,1,18,1,0.0,3.0,1.0,1.0,0.0,3.0,1.0,2.0,2.0,3.0,13.0,8.0,2.0,1.0,1.0,0.0,0.0,6.0,2.0,1.0,2.0,1.0,13.0,7.0,1.0
2223,9.0,18,1,0,2.0,1.0,1.0,0.0,0.0,6.0,2.0,1.0,2.0,1.0,13.0,7.0,0.0,3.0,1.0,1.0,0.0,3.0,1.0,2.0,2.0,3.0,13.0,8.0,3.0
2223,9.0,3,4,1,1.0,2.0,0.0,9.0,3.0,1.0,3.0,0.0,0.0,0.0,14.0,7.0,3.0,2.0,1.0,1.0,3.0,0.0,5.0,1.0,1.0,2.0,13.0,7.0,0.0
2223,9.0,4,3,0,3.0,2.0,1.0,1.0,3.0,0.0,5.0,1.0,1.0,2.0,13.0,7.0,1.0,2.0,0.0,9.0,3.0,1.0,3.0,0.0,0.0,0.0,14.0,7.0,0.0
2223,9.0,7,6,1,0.0,1.0,4.0,1.0,1.0,0.0,1.0,2.0,3.0,1.0,28.0,7.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,0.0,2.0,28.0,7.0,2.0
2223,9.0,6,7,0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,0.0,2.0,28.0,7.0,0.0,1.0,4.0,1.0,1.0,0.0,1.0,2.0,3.0,1.0,28.0,7.0,1.0
2223,9.0,9,15,1,2.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,14.0,7.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,3.0,14.0,7.0,4.0
2223,9.0,15,9,0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,3.0,14.0,7.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,14.0,7.0,1.0
2223,9.0,12,5,1,0.0,1.0,0.0,2.0,1.0,0.0,2.0,9.0,1.0,1.0,28.0,8.0,2.0,2.0,0.0,0.0,0.0,5.0,1.0,1.0,2.0,0.0,27.0,7.0,3.0
2223,9.0,5,12,0,2.0,2.0,0.0,0.0,0.0,5.0,1.0,1.0,2.0,0.0,27.0,7.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,9.0,1.0,1.0,28.0,8.0,3.0
